CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
COMM 141B (34082),Advanced Journalism,"Democracy (Pathway), Advanced Writing, Experiential Learning for Social Justice",TR 03:50 PM - 5:30pm,VARI 128,"Kelley, Barbara B",5.00,5
ENVS 22 (34443),Intro to Environmental Studies,"Democracy (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",MWF 08:00 AM - 9:05am,KENNA 104,"Grudin, Theodore Robert",4.00,None
ENVS 122 (34439),Environmental Politics &Policy,"Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,VARI 128,"Bacon, Christopher Manes",5.00,None
ETHN 165 (34583),Community Based Rsch Methods,"Democracy (Pathway), Civic Engagement, Diversity",TR 10:20 AM - 12pm,DOWD 210,"Fernandez, Jesica Siham",5.00,5
HIST 30 (34562),"French Revolution, an Intro","Democracy (Pathway), Paradigm Shifts (Pathway), Civic Engagement",TR 03:50 PM - 5:30pm,OCONR 204,"Andrews, Naomi J",4.00,1
HIST 128 (40480),Crime/Poverty/Pros Vict London,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,29
POLI 2 (34669),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",MWF 01:00 PM - 2:05pm,VARI 135,"Curry, Jane L",4.00,None
POLI 2 (34665),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",MWF 08:00 AM - 9:05am,KENNA 105,"Mosinger, Eric",4.00,5
POLI 2 (34666),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",MWF 10:30 AM - 11:35am,LUCAS 208,"Morlang, Diana",4.00,None
POLI 2 (34672),Intro to Comparative Politics,"Democracy (Pathway), Cultures and Ideas 3, Social Science",TR 12:10 PM - 1:50pm,ONLINE,"Senzai, Farid D",4.00,None
POLI 119 (40267),European Union,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,29
POLI 119 (40298),European Union,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,29
POLI 119 (40428),European Union,"Democracy (Pathway), Civic Engagement",TBA,TBA,TBA,5.00,29
POLI 157 (34676),Environmental Politics &Policy,"Democracy (Pathway), Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",TR 02:00 PM - 3:40pm,VARI 128,"Bacon, Christopher Manes",5.00,None
SOCI 122 (35162),Applied  Capstone,"Democracy (Pathway), Vocation (Pathway), Advanced Writing, Civic Engagement",TR 02:00 PM - 3:40pm,OCONR 109,"Nichols, Laura Ann",5.00,None
SOCI 161 (35152),The Criminal Justice Systems,"Democracy (Pathway), Law & Social Justice (Pathway), Civic Engagement",TR 03:50 PM - 5:30pm,GRAHAM 164,"Lopez-Aguado, Patrick Anthony",5.00,None
WGST 161 (35722),Communication and Gender,"Democracy (Pathway), Gender, Sexuality & the Body (Pathway)",MW 03:30 PM - 5:15pm,VARI 134,"Ellingson, Laura L",5.00,None
ARTS 74 (34338),Basic Digital Imaging,"Design Thinking (Pathway), The Digital Age (Pathway), Arts",TR 02:00 PM - 4:20pm,DOWD 304,"Karimi, Pantea",4.00,None
ARTS 74 (34339),Basic Digital Imaging,"Design Thinking (Pathway), The Digital Age (Pathway), Arts",TR 04:30 PM - 6:50pm,DOWD 304,"Ebtehaj, Roya",4.00,None
ARTS 74 (34326),Basic Digital Imaging,"Design Thinking (Pathway), The Digital Age (Pathway), Arts",MW 10:30 AM - 12:50pm,DOWD 302,"Li, Qiuwen",4.00,None
ARTS 74 (34329),Basic Digital Imaging,"Design Thinking (Pathway), The Digital Age (Pathway), Arts",TR 11:00 AM - 1:20pm,DOWD 304,"Ebtehaj, Roya",4.00,None
COEN 10 (35374),Introduction to Programming,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,SCDI 3302,"Musurlian, Angela Fontes",4.00,None
COEN 10 (35311),Introduction to Programming,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 11:45 AM - 12:50pm,SCDI 3302,"Musurlian, Angela Fontes",4.00,None
COEN 21 (35331),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 10:20 AM - 12pm,HEAFEY 122,"Chan, Donald",4.00,None
COEN 21 (35330),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,ALAM 102,"Tran, Dat Tien",4.00,None
COEN 21 (35332),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,HEAFEY 125,"Kyrarini, Maria",4.00,None
COEN 21L (35333),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",M 02:15 PM - 5pm,SCDI 4001,"Tehranipoor, Fatemeh",1.00,None
